name,provider_series_slug,scoreboard_candidate_url,status
Australia A in India unofficial Test Series 2026/27,24374,https://site.api.espn.com/apis/site/v2/sports/cricket/24374/scoreboard,requires-series-validation
Australia A in India unofficial ODI Series 2026/27,24373,https://site.api.espn.com/apis/site/v2/sports/cricket/24373/scoreboard,requires-series-validation
Nigeria Quadrangular T20 Series,,,missing-provider-slug-do-not-request
Australia A Women in India unofficial ODI Series 2026/27,24723,https://site.api.espn.com/apis/site/v2/sports/cricket/24723/scoreboard,requires-series-validation
Hong Kong in Japan T20I Series 2026,24734,https://site.api.espn.com/apis/site/v2/sports/cricket/24734/scoreboard,requires-series-validation
Australia Under-19s in India Youth ODI Series 2026/27,24376,https://site.api.espn.com/apis/site/v2/sports/cricket/24376/scoreboard,requires-series-validation
Sri Lanka in England T20I Series 2026,23801,https://site.api.espn.com/apis/site/v2/sports/cricket/23801/scoreboard,requires-series-validation
Australia in Zimbabwe ODI Series 2026,24302,https://site.api.espn.com/apis/site/v2/sports/cricket/24302/scoreboard,requires-series-validation
United Arab Emirates in Malaysia T20I Series 2026,24747,https://site.api.espn.com/apis/site/v2/sports/cricket/24747/scoreboard,requires-series-validation
Afghanistan in India T20I Series 2026,24676,https://site.api.espn.com/apis/site/v2/sports/cricket/24676/scoreboard,requires-series-validation
Australia A Women in India unofficial T20I Series 2026/27,24724,https://site.api.espn.com/apis/site/v2/sports/cricket/24724/scoreboard,requires-series-validation
South Africa Women in Zimbabwe T20I Series 2026,24564,https://site.api.espn.com/apis/site/v2/sports/cricket/24564/scoreboard,requires-series-validation
Malaysia Women in Japan T20I Series 2026,24736,https://site.api.espn.com/apis/site/v2/sports/cricket/24736/scoreboard,requires-series-validation
CSA 3-Day Series Division 2 2026/27,,,missing-provider-slug-do-not-request
South Africa in Namibia ODI Series 2026,24669,https://site.api.espn.com/apis/site/v2/sports/cricket/24669/scoreboard,requires-series-validation
Pakistan Under-19s in England Youth ODI Series 2026,24738,https://site.api.espn.com/apis/site/v2/sports/cricket/24738/scoreboard,requires-series-validation
Bangladesh A in South Africa unofficial ODI Series 2026,24692,https://site.api.espn.com/apis/site/v2/sports/cricket/24692/scoreboard,requires-series-validation
Serbia Women's T20I Tri-Series,24741,https://site.api.espn.com/apis/site/v2/sports/cricket/24741/scoreboard,requires-series-validation
Czech Republic Women's T20I Tri-Series,24742,https://site.api.espn.com/apis/site/v2/sports/cricket/24742/scoreboard,requires-series-validation
Pakistan Under-19s in England Youth Test Match 2026,24739,https://site.api.espn.com/apis/site/v2/sports/cricket/24739/scoreboard,requires-series-validation
Ireland Women in England ODI Series 2026,23804,https://site.api.espn.com/apis/site/v2/sports/cricket/23804/scoreboard,requires-series-validation
Netherlands Women in Scotland ODI Series 2026,24687,https://site.api.espn.com/apis/site/v2/sports/cricket/24687/scoreboard,requires-series-validation
Namibia T20I Tri-Series,24752,https://site.api.espn.com/apis/site/v2/sports/cricket/24752/scoreboard,requires-series-validation
European T20 Premier League,24698,https://site.api.espn.com/apis/site/v2/sports/cricket/24698/scoreboard,requires-series-validation
Bangladesh A in South Africa unofficial Test Series 2026,24693,https://site.api.espn.com/apis/site/v2/sports/cricket/24693/scoreboard,requires-series-validation
Belgium Women in Luxembourg T20I Series 2026,24647,https://site.api.espn.com/apis/site/v2/sports/cricket/24647/scoreboard,requires-series-validation
China Women's T20I Tri-Series,24712,https://site.api.espn.com/apis/site/v2/sports/cricket/24712/scoreboard,requires-series-validation
Pakistan in England Test Series 2026,23805,https://site.api.espn.com/apis/site/v2/sports/cricket/23805/scoreboard,requires-series-validation
Bangladesh Emerging Team in South Africa unofficial Test Series 2026,24643,https://site.api.espn.com/apis/site/v2/sports/cricket/24643/scoreboard,requires-series-validation
India in Sri Lanka Test Series 2026,24566,https://site.api.espn.com/apis/site/v2/sports/cricket/24566/scoreboard,requires-series-validation
Thailand Women in Papua New Guinea ODI Series 2026,24665,https://site.api.espn.com/apis/site/v2/sports/cricket/24665/scoreboard,requires-series-validation
Bangladesh in Australia Test Series 2026,24230,https://site.api.espn.com/apis/site/v2/sports/cricket/24230/scoreboard,requires-series-validation
Malaysia in Bangladesh unofficial ODI Series 2026,24689,https://site.api.espn.com/apis/site/v2/sports/cricket/24689/scoreboard,requires-series-validation
PCB National Champions Cup,24699,https://site.api.espn.com/apis/site/v2/sports/cricket/24699/scoreboard,requires-series-validation
